date,vwretd,vwretx
19660531,-0.04914,-0.054645
19660630,-0.01438,-0.015904
19660729,-0.012129,-0.013039
19660831,-0.07165,-0.077487
19660930,-0.006244,-0.007692
19661031,0.048333,0.047244
19661130,0.011223,0.003741
19661230,0.000326,-0.001089
19670131,0.079215,0.077723
19670228,0.007514,0.00242
19670331,0.041137,0.039544
19670428,0.043371,0.042544
19670531,-0.04681,-0.052314
19670630,0.019319,0.018015
19670731,0.046454,0.045623
19670831,-0.006824,-0.012197
19670929,0.033815,0.032597
19671031,-0.027448,-0.028701
19671130,0.006435,0.000533
19671229,0.027079,0.025857
19680131,-0.041875,-0.043523
19680229,-0.0269,-0.031973
19680329,0.009696,0.008585
19680430,0.084092,0.082642
19680531,0.016374,0.011104
19680628,0.009916,0.008695
19680730,-0.017444,-0.018664
19680830,0.016415,0.011259
19680930,0.039351,0.03821
19681031,0.008587,0.006751
19681129,0.05358,0.048659
19681231,-0.040826,-0.042141
19690131,-0.007547,-0.008612
19690228,-0.042321,-0.047384
19690328,0.034847,0.033599
19690430,0.022771,0.021449
19690529,0.003854,-0.001862
19690630,-0.054357,-0.055686
19690731,-0.058632,-0.059919
19690829,0.045728,0.04018
19690930,-0.023941,-0.025285
19691031,0.0469,0.044661
19691128,-0.029152,-0.034433
19691231,-0.016922,-0.018365
19700130,-0.075398,-0.076809
19700227,0.059521,0.053615
19700331,0.002806,0.001232
19700430,-0.088831,-0.090035
19700529,-0.054689,-0.061112
19700630,-0.049032,-0.050902
19700731,0.075523,0.073219
19700831,0.049778,0.043782
19700930,0.034702,0.033021
19701030,-0.009032,-0.011639
19701130,0.054387,0.048836
19701231,0.058684,0.057358
19710129,0.042828,0.0415
19710226,0.013317,0.008152
19710331,0.039068,0.037624
19710430,0.036965,0.035789
19710528,-0.03715,-0.042138
19710630,0.002439,0.001061
19710730,-0.040827,-0.041901
19710831,0.042036,0.036549
19710930,-0.005038,-0.006387
19711029,-0.040129,-0.042015
19711130,0.002898,-0.002029
19711231,0.08788,0.086486
19720131,0.019088,0.017814
19720229,0.030221,0.025416
19720330,0.007315,0.006132
19720428,0.005476,0.004658
19720531,0.022019,0.016763
19720630,-0.020156,-0.021378
19720731,0.003245,0.002126
19720831,0.039425,0.034649
19720929,-0.003277,-0.004516
19721031,0.010878,0.009503
19721130,0.050297,0.045173
19721229,0.013663,0.012622
19730131,-0.016752,-0.018044
19730228,-0.033818,-0.038229
19730330,-0.001093,-0.002089
19730430,-0.040064,-0.041236
19730531,-0.01395,-0.019002
19730629,-0.005178,-0.006522
19730731,0.039128,0.037679
19730831,-0.031544,-0.036505
19730928,0.042219,0.041038
19731031,0.000312,-0.00156
19731130,-0.10722,-0.113046
19731231,0.017971,0.016534
19740131,-0.00812,-0.009749
19740228,0.001992,-0.003695
19740329,-0.021818,-0.023154
19740430,-0.037649,-0.039359
19740531,-0.026896,-0.033127
19740628,-0.012816,-0.014583
19740731,-0.076698,-0.0785
19740830,-0.082177,-0.089737
19740930,-0.117511,-0.119578
19741031,0.168113,0.164814
19741129,-0.045688,-0.053816
19741231,-0.018021,-0.020305
19750131,0.12361,0.121698
19750228,0.06746,0.059497
19750331,0.024014,0.022122
19750430,0.049424,0.047293
19750530,0.051193,0.044794
19750630,0.04622,0.044342
19750731,-0.065504,-0.067553
19750829,-0.015663,-0.021731
19750930,-0.03225,-0.034226
19751031,0.064855,0.062135
19751128,0.030089,0.023996
19751231,-0.010485,-0.012296
19760130,0.120143,0.118545
19760227,-0.005756,-0.01162
19760331,0.03264,0.030786
19760430,-0.00961,-0.010699
19760528,-0.008116,-0.015026
19760630,0.043959,0.042158
19760730,-0.007202,-0.008454
19760831,0.001599,-0.004982
19760930,0.024421,0.02267
19761029,-0.020211,-0.021995
19761130,-0.001041,-0.008628
19761231,0.053775,0.05217
19770131,-0.049654,-0.051167
19770228,-0.015638,-0.0224
19770331,-0.012502,-0.014548
19770429,0.000641,-0.000503
19770531,-0.015064,-0.023541
19770630,0.047776,0.045705
19770729,-0.015453,-0.016589
19770831,-0.01231,-0.020221
19770930,-0.000825,-0.003084
19771031,-0.041984,-0.043869
19771130,0.036752,0.026953
19771230,0.00557,0.003637
19780131,-0.060643,-0.062611
19780228,-0.01626,-0.024938
19780331,0.026925,0.024356
19780428,0.088964,0.087593
19780531,0.013719,0.004436
19780630,-0.016578,-0.018953
19780731,0.056974,0.055121
19780831,0.033641,0.025563
19780929,-0.005163,-0.007483
19781031,-0.08957,-0.092269
